artist_name,artist_id,genre
Laura Stevenson,1lVadNivMiSkc2N6irhWdg,indie punk
Laura Stevenson,1lVadNivMiSkc2N6irhWdg,small room
Mitski,2uYWxilOVlUdk4oV9DvwqK,brooklyn indie
Mitski,2uYWxilOVlUdk4oV9DvwqK,indie pop
Miya Folick,1jFVu6Z7wmwywivOeBTSIV,art pop
Miya Folick,1jFVu6Z7wmwywivOeBTSIV,bubblegrunge
Miya Folick,1jFVu6Z7wmwywivOeBTSIV,indie pop
Miya Folick,1jFVu6Z7wmwywivOeBTSIV,la indie
Ashley Kutcher,1Zi1c8sWZTy5rDiN3lAuEj,alt z
Ashley Kutcher,1Zi1c8sWZTy5rDiN3lAuEj,gen z singer-songwriter
Ashley Kutcher,1Zi1c8sWZTy5rDiN3lAuEj,pop
Jack River,4xrDCETyApzUQ6xzcc6QtS,australian indie
Jack River,4xrDCETyApzUQ6xzcc6QtS,australian pop
BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,alt z
BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,nz pop
BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,pop
Alex the Astronaut,42NjRVKqEGe2DkGvlUd5qM,australian indie
Alex the Astronaut,42NjRVKqEGe2DkGvlUd5qM,australian pop
Dora Jar,4V30Q8ACPdJCcAmAYibfrH,indie pop
chloe moriondo,3P4vW5tzQvmuoNaFQqzy9q,alt z
chloe moriondo,3P4vW5tzQvmuoNaFQqzy9q,bedroom pop
chloe moriondo,3P4vW5tzQvmuoNaFQqzy9q,indie pop
Vera Blue,5ujrA1eZLDHR7yQ6FZa2qA,australian indie
Vera Blue,5ujrA1eZLDHR7yQ6FZa2qA,australian pop
Okay Kaya,7d64ZVOXg02y73HB5UMqkb,alternative r&b
Okay Kaya,7d64ZVOXg02y73HB5UMqkb,art pop
Okay Kaya,7d64ZVOXg02y73HB5UMqkb,escape room
Okay Kaya,7d64ZVOXg02y73HB5UMqkb,indie pop
